name,id_game,quote,effect,unlock,image,quality,pool,item_quality,extension
A Pony,5.100.130,Flight + dash attack,"Passively grants flight and increases speed to 1.5. Upon use, Isaac charges in the direction the pony is facing, giving invulnerability during the charge and dealing damage to enemies hit.",Defeat  Mom,imagenes3,2,,activated item,rebirth
Anarchist Cookbook,5.100.65,Summon bombs,Spawns six   Troll Bombs around the room.,Unlocked,imagenes3,1,LibraryTreasure RoomLibraryTreasure Room,activated item,rebirth
Best Friend,5.100.136,Friends 'till the end,Spawns a decoy Isaac that explodes after 5 seconds. Enemies will always target the decoy and ignore Isaac.,Unlocked,imagenes3,1,Crane GameTreasure Room,activated item,rebirth
Blank Card,5.100.286,Card mimic,Copies the effect of the card or rune currently held by Isaac. Copies the effect of the card currently held by Isaac. The charge time is based on the power of the card.,Defeat Isaac as  Eden,imagenes3,2,Treasure RoomSecret RoomShopSecret RoomShop,activated item,rebirth
Blood Rights,5.100.186,Mass enemy damage at a cost,"Upon use, takes a full heart of health and deals 40 damage to all enemies in the room.  Repeated uses in the same room only take half a heart.",Defeat Satan as  Samson,imagenes3,0,Devil RoomTreasure RoomTreasure Room,activated item,rebirth
Bob's Rotten Head,5.100.42,Reusable ranged bomb,"Upon use, Isaac holds a poison   Bomb which can be thrown in the cardinal directions and explodes on impact.",Unlocked,imagenes3,1,Golden ChestRotten BeggarTreasure RoomGolden ChestTreasure Room,activated item,rebirth
Book of Revelations,5.100.78,Reusable soul protection,"Increases the chance of a  Devil Room /  Angel Room appearing while held. On use, gives one   Soul Heart, and replaces the boss of the current floor with a Harbinger if possible.",Defeat a Harbinger,imagenes3,3,Angel RoomLibraryTreasure RoomLibraryAngel RoomTreasure Room,activated item,rebirth
Book of Secrets,5.100.287,Tome of knowledge,"Gives the effect of  Treasure Map,  The Compass, or  Blue Map for the duration of the current floor.  If all effects are active,   X-Ray Vision is provided for the floor instead. Highlights any Tinted Rocks and rocks with  Crawl Space in the room.",Defeat Satan as  Eden,imagenes3,1,LibrarySecret RoomTreasure RoomLibrary,activated item,rebirth
Book of Shadows,5.100.58,Temporary invincibility,"Creates a protective shield, nullifying all types of damage in the current room for 10 seconds.",Unlocked,imagenes3,3,LibraryTreasure RoomLibrary,activated item,rebirth
Box of Spiders,5.100.288,It's a box of spiders,Spawns 1-4 Blue Spiders that deal 2.5x damage to enemies. Spawns 4-8 Blue Spiders that deal 2x damage to enemies.,Unlocked,imagenes3,1,Treasure RoomTreasure Room,activated item,rebirth
Breath of Life,5.100.326,Invincibility at a cost,"Grants a brief moment of invincibility when the charge bar hits zero. Isaac begins taking damage if the item is held any longer.  Isaac creates beams of light when touching enemies while invulnerable, and creates a powerful 4-way beam if blocking damage exactly as the invincibility starts.",Unlocked,imagenes3,1,Angel RoomAngel Room,activated item,rebirth
Butter Bean,5.100.294,Reusable knock-back,"Upon use, Isaac farts and knocks back nearby enemies  and projectiles.  Enemies pushed into walls or obstacles take 12 damage.",Destroy 100 Poops,imagenes3,1,BeggarTreasure Room,activated item,rebirth
Converter,5.100.296,Convert your soul,Converts two   Soul Hearts or   Black Hearts into one filled   Red Heart Container. Converts one   Soul Heart or   Black Heart into one filled   Red Heart Container.,Unlocked,imagenes3,2,Shop,activated item,rebirth
Crack the Sky,5.100.160,Holy white death,"Summons 5 beams of light in random locations on the ground, dealing large amounts of damage to any enemies that touch them.",Unlocked,imagenes3,2,Treasure Room,activated item,rebirth
Crystal Ball,5.100.158,I see my future,"Upon use, reveals the map (except the  Super Secret Room) and drops a   Soul Heart or random card/rune.",Unlocked,imagenes3,3,Treasure Room,activated item,rebirth
D10,5.100.285,Reroll enemies,Re-rolls all monsters in the room. Replaces all monsters in the room with weaker monsters.,Unlocked,imagenes3,1,Crane GameTreasure RoomShop,activated item,rebirth
D100,5.100.283,REEROLLLLL!,"Combines the effects of  D4,  The D6, and  D20. Combines the effects of  D1,  D4,  The D6,  D7,  D8,  D10,  D12, and  D20.",Complete the Boss Rush as  The Lost,imagenes3,3,Crane GameTreasure RoomShop,activated item,rebirth
D20,5.100.166,Reroll the basics,Rerolls all pickups in the current room.,Defeat ??? as  Isaac,imagenes3,2,Crane GameUltra Secret RoomTreasure RoomShop,activated item,rebirth
D4,5.100.284,Reroll into something else,Rerolls all of Isaac's passive items.,Blow up 30 Slot Machine,imagenes3,2,Crane GameTreasure RoomShop,activated item,rebirth
Dad's Key,5.100.175,Opens all doors...,"Upon activation, opens all doors in the current room in almost all circumstances, including doors which require a   Key to open, entrances to  Secret Rooms, and the door to   Mega Satan.",Pick up both Key Pieces from the Angels in one run,imagenes3,2,Old ChestKey MasterTreasure RoomTreasure Room,activated item,rebirth
Dead Sea Scrolls,5.100.124,It's a mystery,Triggers the effect of a random activated item from a list of possible options (not every activated item is included).,Unlocked,imagenes3,1,Angel RoomTreasure RoomTreasure Room,activated item,rebirth
Deck of Cards,5.100.85,Reusable card generator,Gives Isaac a random card.,Unlocked,imagenes3,2,Crane GameShopTreasure RoomTreasure Room,activated item,rebirth
Doctor's Remote,5.100.47,Reusable air strike,"Creates a crosshair on the ground that can be aimed with tear controls. A missile strikes the spot after 2 seconds, creating a heavy damage explosion.",Unlocked,imagenes3,1,Crane GameTreasure RoomTreasure Room,activated item,rebirth
Flush!,5.100.291,...,Turns all non-boss monsters in the room into   Poop. Instantly kills poop-themed bosses.,Unlocked,imagenes3,1,Treasure RoomTreasure Room,activated item,rebirth
Forget Me Now,5.100.127,I don't remember...,"On use, re-generates the current floor with a new layout. Isaac loses Forget Me Now, but keeps other items and consumables picked up on the original floor.",Defeat Satan as  ???,imagenes3,3,Devil BeggarDevil RoomSecret RoomTreasure RoomSecret Room,activated item,rebirth
Guppy's Head,5.100.145,Reusable fly hive,Spawns 2-4 friendly Blue Flies that damage enemies.,Unlocked,imagenes3,2,Golden ChestCurse RoomDevil RoomRed ChestGolden ChestCurse RoomDevil Room,activated item,rebirth
Guppy's Paw,5.100.133,Soul converter,"Upon use, converts one Red Heart Container into three   Soul Hearts.",Unlocked,imagenes3,3,Curse RoomDevil RoomRed ChestCurse RoomDevil Room,activated item,rebirth
Head of Krampus,5.100.293,Krampus rage,"Fires a powerful  Brimstone beam in four cardinal directions, much like   Krampus shoots.
 Fires a powerful  Brimstone beam in four cardinal directions, much like   Krampus shoots with a 50% chance to rotate all beams around Isaac 90 degrees.",Defeat Krampus,imagenes3,2,,activated item,rebirth
How to Jump,5.100.282,It's time you learned how,"Upon use, Isaac jumps in the direction he is currently moving, allowing travel over obstacles and enemies.",Unlocked,imagenes3,1,LibraryTreasure Room,activated item,rebirth
Isaac's Tears,5.100.323,Collected tears,"Fires 8 tears around Isaac, which retain the damage, range, shot speed, and special tear effects of his tears. Each tear shot by Isaac increases item charge by one.  Tears from this item have a +5 flat damage bonus.",Defeat Isaac as  Isaac,imagenes3,1,Treasure Room,activated item,rebirth
IV Bag,5.100.135,Portable blood bank,"Upon use, Isaac loses half a heart of health (or a full heart in Chapter 4 onward) for a random amount of coins, similar to a  Blood Donation Machine.",Unlocked,imagenes3,1,Golden ChestUltra Secret Room,activated item,rebirth
Kamikaze!,5.100.40,Become the bomb!,"Creates an explosion around Isaac, damaging him and nearby enemies as well as destroying obstacles.",Unlocked,imagenes3,0,Ultra Secret RoomTreasure Room,activated item,rebirth
Lemon Mishap,5.100.56,Oops...,"Creates a tiny pool of yellow creep, damaging enemies that cross it.",Unlocked,imagenes3,0,Treasure RoomTreasure Room,activated item,rebirth
Magic Fingers,5.100.295,Pay to win,Uses 1   Penny to deal damage to all enemies in the room.,Unlocked,imagenes3,1,ShopTreasure Room,activated item,rebirth
Mom's Bottle of Pills,5.100.102,Reusable pill generator,"On use, gives Isaac a random pill.",Unlocked,imagenes3,1,Crane GameMom's ChestOld ChestBeggarDevil BeggarShopTreasure RoomTreasure Room,activated item,rebirth
Mom's Bra,5.100.39,Mass paralysis,Petrifies all enemies in the current room for 4 seconds.,Unlocked,imagenes3,1,Mom's ChestOld ChestTreasure Room,activated item,rebirth
Mom's Pad,5.100.41,Mass fear,Inflicts fear to all enemies in the room for 4 seconds.  Spawns a blue fly.,Unlocked,imagenes3,0,Mom's ChestOld ChestTreasure Room,activated item,rebirth
Monster Manual,5.100.123,Temporary buddy generator,Spawns a familiar from a specific selection for the current room. Spawns a familiar from a specific selection for the current floor.,Unlocked,imagenes3,1,Devil RoomLibraryTreasure RoomLibraryDevil Room,activated item,rebirth
Monstro's Tooth,5.100.86,Summon Monstro,"A friendly   Monstro jumps on a random enemy, dealing 120 area damage. Targets Isaac if used in a room without enemies.",Beat Chapter 1,imagenes3,1,Treasure Room,activated item,rebirth
Mr. Boom,5.100.37,Reusable bomb buddy,Places a  Mr. Mega   Bomb that deals 110 damage. Places a  Mr. Mega   Bomb that deals 185 damage.,Unlocked,imagenes3,1,Bomb BumTreasure RoomTreasure Room,activated item,rebirth
My Little Unicorn,5.100.77,Temporary badass,"Gives invulnerability and +0.28 speed for six seconds, removing the ability to shoot tears and replacing it with the ability to deal contact damage to enemies.",Unlocked,imagenes3,1,Crane GameTreasure RoomTreasure Room,activated item,rebirth
Notched Axe,5.100.147,Rocks don't stand a chance,"Isaac destroys obstacles and opens  Secret Rooms by walking into them, but cannot shoot or pick up items until it's cancelled. Toggles between tears and the pickaxe, which can be swung to attack and break obstacles. Using it depletes the charge, and it can't be used until next floor once the charge runs out.",Unlocked,imagenes3,1,Treasure RoomCrane GameShop,activated item,rebirth
