name,id_game,quote,effect,unlock,image,kind,extension
0 - The Fool,5.300.1,Where journey begins,Teleports Isaac back to the starting room of the floor that he is currently on.,unlocked,image,card,rebirth
I - The Magician,5.300.2,May you never miss your goal,Grants homing tears for the current room. Grants homing tears and +3 Range for the current room.,unlocked,image,card,rebirth
II - The High Priestess,5.300.3,Mother is watching you,"Mom's dismembered leg is called down to deal 300 damage to anything it stomps. It will always stomp on the enemy with the most health. If used in an empty room or during the fight with Mom, it will stomp Isaac instead.",unlocked,image,card,rebirth
III - The Empress,5.300.4,May your rage bring power,"Triggers the Whore of Babylon effect (+1.5 Damage, +0.3 Speed) for the current room, regardless of Isaac's health total.",unlocked,image,card,rebirth
IV - The Emperor,5.300.5,Challenge me!,Teleports Isaac into the Boss Room of a floor.,unlocked,image,card,rebirth
V - The Hierophant,5.300.6,Two prayers for the lost,Drops 2 full  Soul Hearts on the ground.,unlocked,image,card,rebirth
VI - The Lovers,5.300.7,May you prosper and be in good health,Drops 2 full  Red Hearts on the ground.,unlocked,image,card,rebirth
VII - The Chariot,5.300.8,May nothing stand before you,"Gives invulnerability and +0.28 speed for six seconds, removing the ability to shoot tears and replacing it with the ability to deal contact damage to enemies (same effect as My Little Unicorn).",unlocked,image,card,rebirth
VIII - Justice,5.300.9,May your future become balanced,"Drops a random type of Heart,  Key,  Bomb, and Coin pickup on the ground.",unlocked,image,card,rebirth
IX - The Hermit,5.300.10,May you see what life has to offer,Teleports Isaac to the Shop.,unlocked,image,card,rebirth
X - Wheel of Fortune,5.300.11,Spin the wheel of destiny,Creates a Slot Machine or Fortune Telling Machine near Isaac.,unlocked,image,card,rebirth
XI - Strength,5.300.12,May your power bring rage,Grants the effects of Magic Mushroom (minus the health restoration) for one room. The added Red Heart container is not removed if doing so would kill Isaac.,unlocked,image,card,rebirth
XII - The Hanged Man,5.300.13,May you find enlightenment,"Removes Isaac's body, allowing him to fly around for the duration of the room (same effect as Transcendence).",unlocked,image,card,rebirth
XIII - Death,5.300.14,Lay waste to all that oppose you,Deals 40 damage to all enemies in the room (same effect as The Necronomicon).,unlocked,image,card,rebirth
XIV - Temperance,5.300.15,May you be pure in heart,Creates a Blood Donation Machine near Isaac.  Spawns a Devil Beggar instead in Greed mode.,unlocked,image,card,rebirth
XV - The Devil,5.300.16,Revel in the power of darkness,Grants Isaac a temporary +2 increase to Damage for the current room (same effect as The Book of Belial).,unlocked,image,card,rebirth
